,Labels by Airbnb,neighbourhood,neighbourhood_group,Latitude,Longitude,Avg Price,Airbnb number,Std Price,Lowest Price,Highest Price,Median Price,Total Reviews,Median Reviews,Most Review,Least Review,Avg Reviews
121,0,Marble Hill,Manhattan,40.8761173,-73.9102628,89.17,12,65.58,40,274,76.5,168,2.5,85,0,14.0
122,0,Mariners Harbor,Staten Island,40.63677010000001,-74.1587547,94.62,8,58.86,40,200,71.5,173,9.0,86,0,22.0
123,0,Maspeth,Queens,40.7294018,-73.9065883,83.65,110,47.16,11,245,65.0,2490,7.5,139,0,23.0
124,0,Melrose,Bronx,40.824545,-73.9104143,83.3,10,34.87,42,150,74.5,90,2.0,58,0,9.0
125,0,Middle Village,Queens,40.717372,-73.87425,109.58,31,59.47,28,265,99.0,1055,21.0,160,0,34.0
126,0,Midland Beach,Staten Island,40.57149,-74.0931627,91.83,6,19.34,61,115,95.0,37,4.5,20,0,6.0
127,4,Midtown,Manhattan,40.7549309,-73.9840195,282.72,1545,255.33,30,5100,210.0,19444,2.0,275,0,13.0
128,0,Midwood,Brooklyn,40.6204388,-73.95997779999999,80.34,109,40.51,20,250,75.0,1655,3.0,175,0,15.0
129,0,Mill Basin,Brooklyn,40.6096768,-73.9114293,179.75,4,111.22,85,299,167.5,69,15.0,36,3,17.0
130,0,Morningside Heights,Manhattan,40.8105443,-73.9620581,114.78,346,89.59,30,1200,98.5,4599,2.0,233,0,13.0
131,0,Morris Heights,Bronx,40.8505298,-73.91554289999999,76.94,17,58.27,20,240,51.0,465,9.0,190,0,27.0
132,0,Morris Park,Bronx,40.850332,-73.8513735,69.33,15,41.88,29,190,60.0,271,6.0,76,0,18.0
133,0,Morrisania,Bronx,40.8310814,-73.9058574,83.44,18,51.12,23,225,73.5,186,0.0,80,0,10.0
134,0,Mott Haven,Bronx,40.8091068,-73.9228881,88.92,60,62.84,35,500,74.0,2542,22.0,321,0,42.0
135,0,Mount Eden,Bronx,40.8407018,-73.9168766,58.5,6,46.19,25,150,45.5,420,7.5,291,0,70.0
136,0,Mount Hope,Bronx,40.8488863,-73.9051185,77.5,20,52.66,24,250,60.0,435,10.5,80,0,22.0
137,0,Murray Hill,Manhattan,40.7478792,-73.9756567,221.42,484,156.25,40,2000,190.0,4535,1.0,321,0,9.0
138,0,Navy Yard,Brooklyn,40.6991765,-73.97158379999999,151.64,14,55.46,50,295,150.0,251,6.0,99,0,18.0
139,0,Neponsit,Queens,40.5707646,-73.8610191,274.67,3,75.0,200,350,274.0,46,7.0,34,5,15.0
140,0,New Brighton,Staten Island,40.6404369,-74.090226,101.8,5,87.37,40,249,55.0,201,8.0,149,1,40.0
141,0,New Dorp,Staten Island,40.5739937,-74.1159755,57.0,1,0.0,57,57,57.0,0,0.0,0,0,0.0
142,0,New Dorp Beach,Staten Island,40.5657068,-74.1049093,57.4,5,30.61,36,109,40.0,74,0.0,56,0,15.0
143,0,New Springville,Staten Island,40.5847957,-74.16034840000002,76.0,8,38.02,43,150,63.0,235,14.0,87,0,29.0
144,0,NoHo,Manhattan,40.7286587,-73.9925526,295.72,78,218.2,75,1795,250.0,994,3.5,115,0,13.0
145,3,Nolita,Manhattan,40.7230413,-73.99486069999999,230.14,252,371.63,20,5000,179.0,5634,7.0,244,0,22.0
146,0,North Riverdale,Bronx,40.9090464,-73.90364869999999,79.9,10,41.51,40,150,65.0,182,1.0,143,0,18.0
147,0,Norwood,Bronx,40.8810341,-73.878486,75.55,31,48.92,26,200,58.0,519,6.0,109,0,17.0
148,0,Oakwood,Staten Island,40.563994,-74.1159754,81.2,5,33.54,46,130,65.0,9,1.0,4,1,2.0
149,0,Olinville,Bronx,40.8803912,-73.8668996,64.0,4,48.1,25,125,53.0,30,5.0,20,0,8.0
150,0,Ozone Park,Queens,40.6794072,-73.8507279,85.27,62,41.3,25,200,75.0,1512,5.0,212,0,24.0
151,3,Park Slope,Brooklyn,40.6710672,-73.98142279999999,176.31,506,168.6,30,2626,145.0,14638,7.0,488,0,29.0
